station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
CI.SLV..HH,2020-10-01T00:00:00.003,10227,2020-10-01T00:01:42.273,0.574,S,CI.SLV.2020-10-01T00:00.mseed,2.019960220422945e-06,2.019960220422945e-06
CI.SLV..HH,2020-10-01T00:00:00.003,10874,2020-10-01T00:01:48.743,0.36,S,CI.SLV.2020-10-01T00:00.mseed,1.692446517154167e-06,1.692446517154167e-06
CI.SLV..HH,2020-10-01T00:00:00.003,12257,2020-10-01T00:02:02.573,0.847,S,CI.SLV.2020-10-01T00:00.mseed,8.92146772457636e-07,8.92146772457636e-07
CI.SLV..HH,2020-10-01T00:00:00.003,15200,2020-10-01T00:02:32.003,0.665,S,CI.SLV.2020-10-01T00:00.mseed,8.565600182919297e-06,8.565600182919297e-06
CI.SLV..HH,2020-10-01T00:00:00.003,15848,2020-10-01T00:02:38.483,0.481,S,CI.SLV.2020-10-01T00:00.mseed,7.158216703828657e-06,7.158216703828657e-06
CI.SNR..HH,2020-10-01T00:00:00.008,14687,2020-10-01T00:02:26.878,0.43,P,CI.SNR.2020-10-01T00:00.mseed,4.963900937582366e-05,4.963900937582366e-05
CI.SNR..HH,2020-10-01T00:00:00.008,421,2020-10-01T00:00:04.218,0.44,S,CI.SNR.2020-10-01T00:00.mseed,3.327182639623061e-05,3.327182639623061e-05
CI.SNR..HH,2020-10-01T00:00:00.008,7642,2020-10-01T00:01:16.428,0.705,S,CI.SNR.2020-10-01T00:00.mseed,1.7037591533153318e-05,1.7037591533153318e-05
CI.SNR..HH,2020-10-01T00:00:00.008,9216,2020-10-01T00:01:32.168,0.721,S,CI.SNR.2020-10-01T00:00.mseed,1.7345184460282326e-05,1.7345184460282326e-05
CI.SNR..HH,2020-10-01T00:00:00.008,15114,2020-10-01T00:02:31.148,0.847,S,CI.SNR.2020-10-01T00:00.mseed,4.963900937582366e-05,4.963900937582366e-05
CI.SWS..HH,2020-10-01T00:00:00.008,15,2020-10-01T00:00:00.158,0.436,P,CI.SWS.2020-10-01T00:00.mseed,2.3429989596479572e-05,2.3429989596479572e-05
CI.SWS..HH,2020-10-01T00:00:00.008,5987,2020-10-01T00:00:59.878,0.907,P,CI.SWS.2020-10-01T00:00.mseed,1.789429347809346e-06,1.789429347809346e-06
CI.SWS..HH,2020-10-01T00:00:00.008,6184,2020-10-01T00:01:01.848,0.358,P,CI.SWS.2020-10-01T00:00.mseed,3.255555384384934e-06,3.255555384384934e-06
CI.SWS..HH,2020-10-01T00:00:00.008,7093,2020-10-01T00:01:10.938,0.424,P,CI.SWS.2020-10-01T00:00.mseed,7.034267582639586e-06,7.034267582639586e-06
CI.SWS..HH,2020-10-01T00:00:00.008,8693,2020-10-01T00:01:26.938,0.726,P,CI.SWS.2020-10-01T00:00.mseed,8.199916010198649e-06,8.199916010198649e-06
CI.SWS..HH,2020-10-01T00:00:00.008,9640,2020-10-01T00:01:36.408,0.679,P,CI.SWS.2020-10-01T00:00.mseed,7.692518920521252e-06,7.692518920521252e-06
CI.SWS..HH,2020-10-01T00:00:00.008,11613,2020-10-01T00:01:56.138,0.914,P,CI.SWS.2020-10-01T00:00.mseed,4.455584075913066e-06,4.455584075913066e-06
CI.SWS..HH,2020-10-01T00:00:00.008,14612,2020-10-01T00:02:26.128,0.549,P,CI.SWS.2020-10-01T00:00.mseed,8.901824003260117e-06,8.901824003260117e-06
CI.SWS..HH,2020-10-01T00:00:00.008,14805,2020-10-01T00:02:28.058,0.472,P,CI.SWS.2020-10-01T00:00.mseed,4.1539173253113404e-05,4.1539173253113404e-05
CI.SWS..HH,2020-10-01T00:00:00.008,169,2020-10-01T00:00:01.698,0.481,S,CI.SWS.2020-10-01T00:00.mseed,2.3429989596479572e-05,2.3429989596479572e-05
CI.SWS..HH,2020-10-01T00:00:00.008,3727,2020-10-01T00:00:37.278,0.316,S,CI.SWS.2020-10-01T00:00.mseed,6.595342256332515e-06,6.595342256332515e-06
CI.SWS..HH,2020-10-01T00:00:00.008,4277,2020-10-01T00:00:42.778,0.46,S,CI.SWS.2020-10-01T00:00.mseed,6.3831898842181545e-06,6.3831898842181545e-06
CI.SWS..HH,2020-10-01T00:00:00.008,6189,2020-10-01T00:01:01.898,0.383,S,CI.SWS.2020-10-01T00:00.mseed,5.0750568334478885e-06,5.0750568334478885e-06
CI.SWS..HH,2020-10-01T00:00:00.008,7405,2020-10-01T00:01:14.058,0.712,S,CI.SWS.2020-10-01T00:00.mseed,7.034267582639586e-06,7.034267582639586e-06
CI.SWS..HH,2020-10-01T00:00:00.008,7964,2020-10-01T00:01:19.648,0.664,S,CI.SWS.2020-10-01T00:00.mseed,6.909728199389065e-06,6.909728199389065e-06
CI.SWS..HH,2020-10-01T00:00:00.008,9005,2020-10-01T00:01:30.058,0.625,S,CI.SWS.2020-10-01T00:00.mseed,8.199916010198649e-06,8.199916010198649e-06
CI.SWS..HH,2020-10-01T00:00:00.008,14905,2020-10-01T00:02:29.058,0.596,S,CI.SWS.2020-10-01T00:00.mseed,4.1539173253113404e-05,4.1539173253113404e-05
CI.WES..HH,2020-10-01T00:00:00.008,91,2020-10-01T00:00:00.918,0.325,P,CI.WES.2020-10-01T00:00.mseed,1.92901225091191e-05,1.92901225091191e-05
CI.WMD..HH,2020-10-01T00:00:00.008,1,2020-10-01T00:00:00.018,0.739,P,CI.WMD.2020-10-01T00:00.mseed,0.00011028217704733834,0.00011028217704733834
CI.WMD..HH,2020-10-01T00:00:00.008,1497,2020-10-01T00:00:14.978,0.774,P,CI.WMD.2020-10-01T00:00.mseed,4.447607716429047e-05,4.447607716429047e-05
CI.WMD..HH,2020-10-01T00:00:00.008,3089,2020-10-01T00:00:30.898,0.955,P,CI.WMD.2020-10-01T00:00.mseed,0.0002006390132009983,0.0002006390132009983
CI.WMD..HH,2020-10-01T00:00:00.008,3900,2020-10-01T00:00:39.008,0.883,P,CI.WMD.2020-10-01T00:00.mseed,6.454427057178691e-05,6.454427057178691e-05
